ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2007-12-10,8.033860395988365,8.233442493265802,9.488209209581967,8.033860395988365,8.033860395988365,0.8030127235746793,0.8030127235746793,0.8030127235746793,0.3522869740987293,0.3522869740987293,0.3522869740987293,0.4507257494759499,0.4507257494759499,0.4507257494759499,0.0,0.0,0.0,8.836873119563045
2007-12-11,8.032337127121655,8.005972555111565,9.16153406850877,8.032337127121655,8.032337127121655,0.5531216549691307,0.5531216549691307,0.5531216549691307,0.11962390337804846,0.11962390337804846,0.11962390337804846,0.43349775159108217,0.43349775159108217,0.43349775159108217,0.0,0.0,0.0,8.585458782090786
2007-12-12,8.030813858254946,7.7410996440200535,9.033490131664783,8.030813858254946,8.030813858254946,0.3505581929521834,0.3505581929521834,0.3505581929521834,-0.06664697470539911,-0.06664697470539911,-0.06664697470539911,0.41720516765758253,0.41720516765758253,0.41720516765758253,0.0,0.0,0.0,8.38137205120713
2007-12-13,8.029290589388237,7.725967026380719,8.951156601171,8.029290589388237,8.029290589388237,0.330007695229487,0.330007695229487,0.330007695229487,-0.0722843353613391,-0.0722843353613391,-0.0722843353613391,0.4022920305908261,0.4022920305908261,0.4022920305908261,0.0,0.0,0.0,8.359298284617724
2007-12-14,8.027767320521527,7.778902824145504,8.957977743582154,8.027767320521527,8.027767320521527,0.3195981384319437,0.3195981384319437,0.3195981384319437,-0.06956622362455468,-0.06956622362455468,-0.06956622362455468,0.38916436205649824,0.38916436205649824,0.38916436205649824,0.0,0.0,0.0,8.34736545895347
2007-12-15,8.026244051654817,7.43334624638828,8.736043334525261,8.026244051654817,8.026244051654817,0.06647326629640715,0.06647326629640715,0.06647326629640715,-0.31170803776586486,-0.31170803776586486,-0.31170803776586486,0.37818130406227196,0.37818130406227196,0.37818130406227196,0.0,0.0,0.0,8.092717317951225
2007-12-16,8.024720782788107,7.806038569472087,9.067655267210124,8.024720782788107,8.024720782788107,0.41794253604726994,0.41794253604726994,0.41794253604726994,0.04829469398175422,0.04829469398175422,0.04829469398175422,0.3696478420655157,0.3696478420655157,0.3696478420655157,0.0,0.0,0.0,8.442663318835377
2007-12-17,8.023197513921398,8.14571274139486,9.362208583718491,8.023197513921398,8.023197513921398,0.7160962627755105,0.7160962627755105,0.7160962627755105,0.35228697409861587,0.35228697409861587,0.35228697409861587,0.3638092886768946,0.3638092886768946,0.3638092886768946,0.0,0.0,0.0,8.739293776696908
2007-12-18,8.021674245054689,7.848380346382623,9.08986436546145,8.021674245054689,8.021674245054689,0.4804715429350141,0.4804715429350141,0.4804715429350141,0.11962390337770809,0.11962390337770809,0.11962390337770809,0.36084763955730587,0.36084763955730587,0.36084763955730587,0.0,0.0,0.0,8.502145787989702
2007-12-19,8.020150976187978,7.6966665963447,8.923430613607884,8.020150976187978,8.020150976187978,0.2942328782569374,0.2942328782569374,0.2942328782569374,-0.06664697470559751,-0.06664697470559751,-0.06664697470559751,0.36087985296253494,0.36087985296253494,0.36087985296253494,0.0,0.0,0.0,8.314383854444914
2007-12-20,8.018627707321269,7.701075026036757,8.933843751152983,8.018627707321269,8.018627707321269,0.2916737081102748,0.2916737081102748,0.2916737081102748,-0.07228433536122093,-0.07228433536122093,-0.07228433536122093,0.3639580434714958,0.3639580434714958,0.3639580434714958,0.0,0.0,0.0,8.310301415431544
2007-12-21,8.017104438454558,7.727957262239677,8.936030868226204,8.017104438454558,8.017104438454558,0.30050529701724094,0.30050529701724094,0.30050529701724094,-0.06956622362467231,-0.06956622362467231,-0.06956622362467231,0.3700715206419132,0.3700715206419132,0.3700715206419132,0.0,0.0,0.0,8.317609735471798
2007-12-22,8.015581169587849,7.456168478388459,8.71562619878905,8.015581169587849,8.015581169587849,0.0674425087588462,0.0674425087588462,0.0674425087588462,-0.31170803776586986,-0.31170803776586986,-0.31170803776586986,0.37915054652471614,0.37915054652471614,0.37915054652471614,0.0,0.0,0.0,8.083023678346695
2007-12-23,8.014057900721141,7.849154219274355,9.108792394371124,8.014057900721141,8.014057900721141,0.4393663278731889,0.4393663278731889,0.4393663278731889,0.04829469398108032,0.04829469398108032,0.04829469398108032,0.3910716338921086,0.3910716338921086,0.3910716338921086,0.0,0.0,0.0,8.453424228594331
2007-12-24,8.01253463185443,8.146003730282404,9.389774186264678,8.01253463185443,8.01253463185443,0.7579511353874329,0.7579511353874329,0.7579511353874329,0.35228697409873544,0.35228697409873544,0.35228697409873544,0.40566416128869753,0.40566416128869753,0.40566416128869753,0.0,0.0,0.0,8.770485767241864
